Angle(Degrees)	Distance(cm)
0			46.815876
2			140.470200
4			47.467319
6			136.004684
8			135.457520
10			140.902344
12			140.076752
14			140.489548
16			140.657257
18			53.950596
20			50.449348
22			49.110981
24			49.031433
26			49.437778
28			48.579937
30			48.558437
32			47.995140
34			47.513546
36			47.535046
38			47.528595
40			47.481297
42			47.440445
44			47.436146
46			47.435070
48			47.408195
50			47.432922
52			47.465172
54			47.474846
56			47.515694
58			47.556545
60			47.582344
62			47.633945
64			48.574562
66			48.603588
68			49.450680
70			49.071209
72			49.636654
74			50.825592
76			51.809212
78			140.457306
80			140.442245
82			140.355179
84			140.590607
86			140.573395
88			140.426132
90			139.984314
92			140.049881
94			140.784103
96			140.416458
98			140.084274
100			140.363785
102			140.571259
104			140.294983
106			140.303574
108			48.598213
110			48.276791
112			46.939499
114			47.431847
116			46.414906
118			45.941910
120			46.381580
122			45.413013
124			45.408710
126			45.764534
128			45.778511
130			45.339912
132			45.343136
134			45.333462
136			45.758083
138			44.912067
140			45.313038
142			45.748409
144			45.808609
146			45.811832
148			46.371906
150			46.367603
152			46.392330
154			46.811577
156			46.881451
158			47.437222
160			48.287540
162			48.323013
164			49.284058
166			140.440109
168			140.458374
170			140.126205
172			140.525024
174			140.828171
176			140.853973
178			140.026230
180			140.311111
